,pos_ip,da_price,si
2021-01-01 00:00:00+00:00,64.84,48.19,-65.931
2021-01-01 00:15:00+00:00,13.96,48.19,151.536
2021-01-01 00:30:00+00:00,12.4,48.19,185.419
2021-01-01 00:45:00+00:00,7.7,48.19,259.749
2021-01-01 01:00:00+00:00,64.25,44.68,-12.555
2021-01-01 01:15:00+00:00,14.07,44.68,84.844
2021-01-01 01:30:00+00:00,13.25,44.68,110.218
2021-01-01 01:45:00+00:00,10.47,44.68,191.863
2021-01-01 02:00:00+00:00,12.69,42.92,4.611
2021-01-01 02:15:00+00:00,13.58,42.92,61.255
2021-01-01 02:30:00+00:00,64.25,42.92,-17.643
2021-01-01 02:45:00+00:00,13.8,42.92,43.43
2021-01-01 03:00:00+00:00,13.7,40.39,111.185
2021-01-01 03:15:00+00:00,11.2,40.39,176.928
2021-01-01 03:30:00+00:00,11.04,40.39,172.913
2021-01-01 03:45:00+00:00,12.96,40.39,120.808
2021-01-01 04:00:00+00:00,11.47,40.2,177.571
2021-01-01 04:15:00+00:00,13.45,40.2,124.965
2021-01-01 04:30:00+00:00,15.0,40.2,48.109
2021-01-01 04:45:00+00:00,14.1,40.2,28.992
2021-01-01 05:00:00+00:00,14.59,39.63,75.78
2021-01-01 05:15:00+00:00,15.0,39.63,46.494
2021-01-01 05:30:00+00:00,15.0,39.63,30.698
2021-01-01 05:45:00+00:00,15.0,39.63,127.264
2021-01-01 06:00:00+00:00,64.25,40.09,-0.702
2021-01-01 06:15:00+00:00,15.0,40.09,15.912
2021-01-01 06:30:00+00:00,64.25,40.09,-34.191
2021-01-01 06:45:00+00:00,64.25,40.09,-36.767
2021-01-01 07:00:00+00:00,15.0,41.27,0.959
2021-01-01 07:15:00+00:00,64.25,41.27,-74.207
2021-01-01 07:30:00+00:00,64.25,41.27,-62.993
2021-01-01 07:45:00+00:00,64.25,41.27,-54.49
2021-01-01 08:00:00+00:00,13.74,44.88,58.459
2021-01-01 08:15:00+00:00,13.63,44.88,51.677
2021-01-01 08:30:00+00:00,14.47,44.88,51.923
2021-01-01 08:45:00+00:00,15.0,44.88,40.023
2021-01-01 09:00:00+00:00,13.84,45.0,173.536
2021-01-01 09:15:00+00:00,12.65,45.0,150.361
2021-01-01 09:30:00+00:00,15.0,45.0,101.858
2021-01-01 09:45:00+00:00,15.0,45.0,81.167
2021-01-01 10:00:00+00:00,15.0,47.2,51.439
2021-01-01 10:15:00+00:00,15.0,47.2,116.038
2021-01-01 10:30:00+00:00,13.26,47.2,168.648
2021-01-01 10:45:00+00:00,12.7,47.2,152.586
2021-01-01 11:00:00+00:00,15.0,50.78,102.71
2021-01-01 11:15:00+00:00,13.64,50.78,153.791
2021-01-01 11:30:00+00:00,12.58,50.78,176.838
2021-01-01 11:45:00+00:00,11.67,50.78,195.019
2021-01-01 12:00:00+00:00,15.05,45.49,123.116
2021-01-01 12:15:00+00:00,12.42,45.49,215.536
2021-01-01 12:30:00+00:00,11.14,45.49,173.778
2021-01-01 12:45:00+00:00,11.97,45.49,184.941
2021-01-01 13:00:00+00:00,15.05,44.73,48.033
2021-01-01 13:15:00+00:00,15.05,44.73,48.631
2021-01-01 13:30:00+00:00,15.05,44.73,3.107
2021-01-01 13:45:00+00:00,15.05,44.73,29.557
2021-01-01 14:00:00+00:00,15.05,46.59,36.852
2021-01-01 14:15:00+00:00,61.95,46.59,-33.562
2021-01-01 14:30:00+00:00,61.95,46.59,-36.612
2021-01-01 14:45:00+00:00,61.95,46.59,-67.289
2021-01-01 15:00:00+00:00,15.05,52.99,62.862
2021-01-01 15:15:00+00:00,15.04,52.99,54.419
2021-01-01 15:30:00+00:00,15.05,52.99,22.815
2021-01-01 15:45:00+00:00,61.96,52.99,-53.149
2021-01-01 16:00:00+00:00,61.98,60.26,-15.092
2021-01-01 16:15:00+00:00,61.95,60.26,-55.448
2021-01-01 16:30:00+00:00,61.95,60.26,-91.821
2021-01-01 16:45:00+00:00,61.95,60.26,-117.067
2021-01-01 17:00:00+00:00,61.95,60.61,-51.846
2021-01-01 17:15:00+00:00,61.95,60.61,-73.904
2021-01-01 17:30:00+00:00,61.95,60.61,-71.469
2021-01-01 17:45:00+00:00,61.95,60.61,-56.805
2021-01-01 18:00:00+00:00,61.95,60.36,-52.733
2021-01-01 18:15:00+00:00,61.95,60.36,-17.978
2021-01-01 18:30:00+00:00,15.05,60.36,26.401
2021-01-01 18:45:00+00:00,15.04,60.36,85.217
2021-01-01 19:00:00+00:00,61.95,57.4,-17.942
2021-01-01 19:15:00+00:00,15.05,57.4,7.049
2021-01-01 19:30:00+00:00,15.05,57.4,13.491
2021-01-01 19:45:00+00:00,15.05,57.4,69.81
2021-01-01 20:00:00+00:00,61.95,53.86,-50.69
2021-01-01 20:15:00+00:00,15.05,53.86,41.535
2021-01-01 20:30:00+00:00,15.05,53.86,17.255
2021-01-01 20:45:00+00:00,15.05,53.86,15.05
2021-01-01 21:00:00+00:00,15.04,53.45,37.293
2021-01-01 21:15:00+00:00,61.95,53.45,-5.177
2021-01-01 21:30:00+00:00,61.95,53.45,-16.032
2021-01-01 21:45:00+00:00,15.05,53.45,70.351
