,qh1,qh2,qh3,qh4
2024-09-17 22:00:00,301.208,226.626,220.819,223.376
2024-09-17 22:15:00,226.626,220.819,223.376,292.122
2024-09-17 22:30:00,220.819,223.376,292.122,227.428
2024-09-17 22:45:00,223.376,292.122,227.428,75.0
2024-09-17 23:00:00,292.122,227.428,75.0,58.885
2024-09-17 23:15:00,227.428,75.0,58.885,226.548
2024-09-17 23:30:00,75.0,58.885,226.548,246.972
2024-09-17 23:45:00,58.885,226.548,246.972,248.164
2024-09-18 00:00:00,226.548,246.972,248.164,355.217
2024-09-18 00:15:00,246.972,248.164,355.217,365.205
2024-09-18 00:30:00,248.164,355.217,365.205,219.557
2024-09-18 00:45:00,355.217,365.205,219.557,222.755
2024-09-18 01:00:00,365.205,219.557,222.755,75.5
2024-09-18 01:15:00,219.557,222.755,75.5,206.817
2024-09-18 01:30:00,222.755,75.5,206.817,44.57
2024-09-18 01:45:00,75.5,206.817,44.57,-36.318
2024-09-18 02:00:00,206.817,44.57,-36.318,44.57
2024-09-18 02:15:00,44.57,-36.318,44.57,312.409
2024-09-18 02:30:00,-36.318,44.57,312.409,221.069
2024-09-18 02:45:00,44.57,312.409,221.069,319.658
2024-09-18 03:00:00,312.409,221.069,319.658,201.312
2024-09-18 03:15:00,221.069,319.658,201.312,-100.399
2024-09-18 03:30:00,319.658,201.312,-100.399,257.517
2024-09-18 03:45:00,201.312,-100.399,257.517,352.182
2024-09-18 04:00:00,-100.399,257.517,352.182,371.93
2024-09-18 04:15:00,257.517,352.182,371.93,351.891
2024-09-18 04:30:00,352.182,371.93,351.891,316.959
2024-09-18 04:45:00,371.93,351.891,316.959,374.191
2024-09-18 05:00:00,351.891,316.959,374.191,378.434
2024-09-18 05:15:00,316.959,374.191,378.434,397.791
2024-09-18 05:30:00,374.191,378.434,397.791,259.0
2024-09-18 05:45:00,378.434,397.791,259.0,389.075
2024-09-18 06:00:00,397.791,259.0,389.075,382.147
2024-09-18 06:15:00,259.0,389.075,382.147,363.368
2024-09-18 06:30:00,389.075,382.147,363.368,365.003
2024-09-18 06:45:00,382.147,363.368,365.003,396.034
2024-09-18 07:00:00,363.368,365.003,396.034,494.0
2024-09-18 07:15:00,365.003,396.034,494.0,884.0
2024-09-18 07:30:00,396.034,494.0,884.0,1500.0
2024-09-18 07:45:00,494.0,884.0,1500.0,750.0
2024-09-18 08:00:00,884.0,1500.0,750.0,750.0
2024-09-18 08:15:00,1500.0,750.0,750.0,390.956
2024-09-18 08:30:00,750.0,750.0,390.956,326.0
2024-09-18 08:45:00,750.0,390.956,326.0,365.162
2024-09-18 09:00:00,390.956,326.0,365.162,66.5
2024-09-18 09:15:00,326.0,365.162,66.5,268.701
2024-09-18 09:30:00,365.162,66.5,268.701,-225.707
2024-09-18 09:45:00,66.5,268.701,-225.707,69.0
2024-09-18 10:00:00,268.701,-225.707,69.0,-169.24
2024-09-18 10:15:00,-225.707,69.0,-169.24,147.84
2024-09-18 10:30:00,69.0,-169.24,147.84,142.683
2024-09-18 10:45:00,-169.24,147.84,142.683,141.799
2024-09-18 11:00:00,147.84,142.683,141.799,228.209
2024-09-18 11:15:00,142.683,141.799,228.209,256.265
2024-09-18 11:30:00,141.799,228.209,256.265,212.906
2024-09-18 11:45:00,228.209,256.265,212.906,197.524
2024-09-18 12:00:00,256.265,212.906,197.524,187.614
2024-09-18 12:15:00,212.906,197.524,187.614,178.878
2024-09-18 12:30:00,197.524,187.614,178.878,145.14
2024-09-18 12:45:00,187.614,178.878,145.14,267.124
2024-09-18 13:00:00,178.878,145.14,267.124,160.829
2024-09-18 13:15:00,145.14,267.124,160.829,228.717
2024-09-18 13:30:00,267.124,160.829,228.717,236.903
2024-09-18 13:45:00,160.829,228.717,236.903,255.596
2024-09-18 14:00:00,228.717,236.903,255.596,329.276
2024-09-18 14:15:00,236.903,255.596,329.276,224.383
2024-09-18 14:30:00,255.596,329.276,224.383,224.306
2024-09-18 14:45:00,329.276,224.383,224.306,332.539
2024-09-18 15:00:00,224.383,224.306,332.539,356.013
2024-09-18 15:15:00,224.306,332.539,356.013,-59.106
2024-09-18 15:30:00,332.539,356.013,-59.106,-49.881
2024-09-18 15:45:00,356.013,-59.106,-49.881,297.476
2024-09-18 16:00:00,-59.106,-49.881,297.476,348.299
2024-09-18 16:15:00,-49.881,297.476,348.299,-56.794
2024-09-18 16:30:00,297.476,348.299,-56.794,-40.05
2024-09-18 16:45:00,348.299,-56.794,-40.05,-44.703
2024-09-18 17:00:00,-56.794,-40.05,-44.703,-92.079
2024-09-18 17:15:00,-40.05,-44.703,-92.079,-88.282
2024-09-18 17:30:00,-44.703,-92.079,-88.282,-68.982
2024-09-18 17:45:00,-92.079,-88.282,-68.982,-75.506
2024-09-18 18:00:00,-88.282,-68.982,-75.506,-98.459
2024-09-18 18:15:00,-68.982,-75.506,-98.459,57.085
2024-09-18 18:30:00,-75.506,-98.459,57.085,274.435
2024-09-18 18:45:00,-98.459,57.085,274.435,57.125
2024-09-18 19:00:00,57.085,274.435,57.125,-57.62
2024-09-18 19:15:00,274.435,57.125,-57.62,-51.185
2024-09-18 19:30:00,57.125,-57.62,-51.185,229.028
2024-09-18 19:45:00,-57.62,-51.185,229.028,229.084
2024-09-18 20:00:00,-51.185,229.028,229.084,228.959
2024-09-18 20:15:00,229.028,229.084,228.959,291.047
2024-09-18 20:30:00,229.084,228.959,291.047,53.555
2024-09-18 20:45:00,228.959,291.047,53.555,78.34
