,qh1,qh2,qh3,qh4,qh5,qh6,qh7,qh8
2023-01-01 00:00:00,176.87,-16.34,-17.12,-19.18,208.21,-15.98,-12.37,-20.92
2023-01-01 00:15:00,-16.34,-17.12,-19.18,208.21,-15.98,-12.37,-20.92,-17.07
2023-01-01 00:30:00,-17.12,-19.18,208.21,-15.98,-12.37,-20.92,-17.07,-15.47
2023-01-01 00:45:00,-19.18,208.21,-15.98,-12.37,-20.92,-17.07,-15.47,-69.1
2023-01-01 01:00:00,208.21,-15.98,-12.37,-20.92,-17.07,-15.47,-69.1,-84.9
2023-01-01 01:15:00,-15.98,-12.37,-20.92,-17.07,-15.47,-69.1,-84.9,-84.9
2023-01-01 01:30:00,-12.37,-20.92,-17.07,-15.47,-69.1,-84.9,-84.9,-84.9
2023-01-01 01:45:00,-20.92,-17.07,-15.47,-69.1,-84.9,-84.9,-84.9,-10.0
2023-01-01 02:00:00,-17.07,-15.47,-69.1,-84.9,-84.9,-84.9,-10.0,-10.35
2023-01-01 02:15:00,-15.47,-69.1,-84.9,-84.9,-84.9,-10.0,-10.35,-17.41
2023-01-01 02:30:00,-69.1,-84.9,-84.9,-84.9,-10.0,-10.35,-17.41,-12.23
2023-01-01 02:45:00,-84.9,-84.9,-84.9,-10.0,-10.35,-17.41,-12.23,-84.9
2023-01-01 03:00:00,-84.9,-84.9,-10.0,-10.35,-17.41,-12.23,-84.9,60.0
2023-01-01 03:15:00,-84.9,-10.0,-10.35,-17.41,-12.23,-84.9,60.0,-11.29
2023-01-01 03:30:00,-10.0,-10.35,-17.41,-12.23,-84.9,60.0,-11.29,-15.19
2023-01-01 03:45:00,-10.35,-17.41,-12.23,-84.9,60.0,-11.29,-15.19,-10.0
2023-01-01 04:00:00,-17.41,-12.23,-84.9,60.0,-11.29,-15.19,-10.0,-10.0
2023-01-01 04:15:00,-12.23,-84.9,60.0,-11.29,-15.19,-10.0,-10.0,-10.0
2023-01-01 04:30:00,-84.9,60.0,-11.29,-15.19,-10.0,-10.0,-10.0,-13.9
2023-01-01 04:45:00,60.0,-11.29,-15.19,-10.0,-10.0,-10.0,-13.9,-11.62
2023-01-01 05:00:00,-11.29,-15.19,-10.0,-10.0,-10.0,-13.9,-11.62,-10.0
2023-01-01 05:15:00,-15.19,-10.0,-10.0,-10.0,-13.9,-11.62,-10.0,-15.08
2023-01-01 05:30:00,-10.0,-10.0,-10.0,-13.9,-11.62,-10.0,-15.08,113.19
2023-01-01 05:45:00,-10.0,-10.0,-13.9,-11.62,-10.0,-15.08,113.19,55.0
2023-01-01 06:00:00,-10.0,-13.9,-11.62,-10.0,-15.08,113.19,55.0,-7.18
2023-01-01 06:15:00,-13.9,-11.62,-10.0,-15.08,113.19,55.0,-7.18,-17.91
2023-01-01 06:30:00,-11.62,-10.0,-15.08,113.19,55.0,-7.18,-17.91,55.0
2023-01-01 06:45:00,-10.0,-15.08,113.19,55.0,-7.18,-17.91,55.0,55.0
2023-01-01 07:00:00,-15.08,113.19,55.0,-7.18,-17.91,55.0,55.0,-8.18
2023-01-01 07:15:00,113.19,55.0,-7.18,-17.91,55.0,55.0,-8.18,-22.3
2023-01-01 07:30:00,55.0,-7.18,-17.91,55.0,55.0,-8.18,-22.3,-88.9
2023-01-01 07:45:00,-7.18,-17.91,55.0,55.0,-8.18,-22.3,-88.9,-69.84
2023-01-01 08:00:00,-17.91,55.0,55.0,-8.18,-22.3,-88.9,-69.84,-89.84
2023-01-01 08:15:00,55.0,55.0,-8.18,-22.3,-88.9,-69.84,-89.84,-165.28
2023-01-01 08:30:00,55.0,-8.18,-22.3,-88.9,-69.84,-89.84,-165.28,-111.01
2023-01-01 08:45:00,-8.18,-22.3,-88.9,-69.84,-89.84,-165.28,-111.01,-179.77
2023-01-01 09:00:00,-22.3,-88.9,-69.84,-89.84,-165.28,-111.01,-179.77,-173.52
2023-01-01 09:15:00,-88.9,-69.84,-89.84,-165.28,-111.01,-179.77,-173.52,-98.86
2023-01-01 09:30:00,-69.84,-89.84,-165.28,-111.01,-179.77,-173.52,-98.86,-163.0
2023-01-01 09:45:00,-89.84,-165.28,-111.01,-179.77,-173.52,-98.86,-163.0,-163.0
2023-01-01 10:00:00,-165.28,-111.01,-179.77,-173.52,-98.86,-163.0,-163.0,-15.96
2023-01-01 10:15:00,-111.01,-179.77,-173.52,-98.86,-163.0,-163.0,-15.96,184.87
2023-01-01 10:30:00,-179.77,-173.52,-98.86,-163.0,-163.0,-15.96,184.87,184.87
2023-01-01 10:45:00,-173.52,-98.86,-163.0,-163.0,-15.96,184.87,184.87,304.25
2023-01-01 11:00:00,-98.86,-163.0,-163.0,-15.96,184.87,184.87,304.25,304.25
2023-01-01 11:15:00,-163.0,-163.0,-15.96,184.87,184.87,304.25,304.25,-56.87
2023-01-01 11:30:00,-163.0,-15.96,184.87,184.87,304.25,304.25,-56.87,-84.9
2023-01-01 11:45:00,-15.96,184.87,184.87,304.25,304.25,-56.87,-84.9,194.68
2023-01-01 12:00:00,184.87,184.87,304.25,304.25,-56.87,-84.9,194.68,283.12
2023-01-01 12:15:00,184.87,304.25,304.25,-56.87,-84.9,194.68,283.12,-12.49
2023-01-01 12:30:00,304.25,304.25,-56.87,-84.9,194.68,283.12,-12.49,-10.0
2023-01-01 12:45:00,304.25,-56.87,-84.9,194.68,283.12,-12.49,-10.0,194.65
2023-01-01 13:00:00,-56.87,-84.9,194.68,283.12,-12.49,-10.0,194.65,228.38
2023-01-01 13:15:00,-84.9,194.68,283.12,-12.49,-10.0,194.65,228.38,184.87
2023-01-01 13:30:00,194.68,283.12,-12.49,-10.0,194.65,228.38,184.87,184.87
2023-01-01 13:45:00,283.12,-12.49,-10.0,194.65,228.38,184.87,184.87,227.43
2023-01-01 14:00:00,-12.49,-10.0,194.65,228.38,184.87,184.87,227.43,304.83
2023-01-01 14:15:00,-10.0,194.65,228.38,184.87,184.87,227.43,304.83,309.47
2023-01-01 14:30:00,194.65,228.38,184.87,184.87,227.43,304.83,309.47,229.4
2023-01-01 14:45:00,228.38,184.87,184.87,227.43,304.83,309.47,229.4,-5.0
2023-01-01 15:00:00,184.87,184.87,227.43,304.83,309.47,229.4,-5.0,229.4
2023-01-01 15:15:00,184.87,227.43,304.83,309.47,229.4,-5.0,229.4,229.4
2023-01-01 15:30:00,227.43,304.83,309.47,229.4,-5.0,229.4,229.4,-6.77
2023-01-01 15:45:00,304.83,309.47,229.4,-5.0,229.4,229.4,-6.77,-139.88
